Visible Actions,Stemmed Visible Actions
apply it,apply it
do one coat,do one coat
head into my office,head into my office
stir it up,stir it up
cut oats with of a cup of water,cut oats with of a cup of water
got a little nonstick skillet with a little bit of canola oil spray,got a little nonstick skillet with a little bit of canola oil spray
put them on the skillet,put them on the skillet
make some patties,make some patties
eat my little pumpkin waffles or pancakes,eat my little pumpkin waffles or pancakes
making my veggie spreadeth sandwich with a kale salad on the side with some of my dill tahini,make my veggie spreadeth sandwich with a kale salad on the side with some of my dill tahini
flip these,flip these
grilling something else,grill something else
put a lid on top kind of speed up the process cuz coconut flour pancakes,put a lid on top kind of speed up the process cuz coconut flour pancakes
rotate them from the inside to outside,rotate them from the inside to outside
keep outdoors,keep outdoors
create a really beautiful arrangement,create a really beautiful arrangement
hanging plants inside in my studio,hanging plants inside in my studio
making an arrangement,make an arrangement
add in all your ingredients into a blender,add in all your ingredients into a blender
start at this stand,start at this stand
find that cost a lot less at the farmers market than at the grocery store this bouquet,find that cost a lot less at the farmers market than at the grocery store this bouquet
get some fresh flowers,get some fresh flowers
see the blueberries,see the blueberries
take our pot off,take our pot off
melted into the pot,melt into the pot
head straight into the bathroom,head straight into the bathroom
hitting the snooze button,hit the snooze button
setting my alarm,set my alarm
brush my teeth,brush my teeth
leaving my phone on the other side of the rooms,leave my phone on the other side of the rooms
scraping it down,scrape it down
opening it,open it
scoop it right out of the food processor,scoop it right out of the food processor
scoop it into a bowl,scoop it into a bowl
getting healthy in your diet,get healthy in your diet
set up a calendar,set up a calendar
doing a quick little dab of honest beauty magic balm to some on my lips a tiny little dab around my eyes,do a quick little dab of honest beauty magic balm to some on my lips a tiny little dab around my eyes
got the honest company lavender vanilla spray,got the honest company lavender vanilla spray
put on a bit of makeup,put on a bit of makeup
do my hair,do my hair
using my ghd,use my ghd
show a version of my makeup,show a version of my makeup
going really quickly,go really quickly
put this on okay,put this on okay
using the color nudist,use the color nudist
focusing this in the center of my lips,focus this in the center of my lips
unboxed my new handbag,unbox my new handbag
writing items for this list,write items for this list
make your bucket list,make your bucket list
write those things down,write those things down
part it like this,part it like this
looking clean,look clean
do other spots of the house,do other spots of the house
work on a space,work on a space
add to tsp then about to cup of water or coconut water,add to tsp then about to cup of water or coconut water
doing a detox this recipe,do a detox this recipe
add a few ice cubes,add a few ice cubes
doing my hair,do my hair
brush your teeth,brush your teeth
clean the kitchen every day,clean the kitchen every day
cleaned the counters,clean the counters
use it on my refrigerator,use it on my refrigerator
get to the stainless steel,get to the stainless steel
clean the surface of my kitchen,clean the surface of my kitchen
worked great really like this method stainless steel cleaner,work great really like this method stainless steel cleaner
breathe in fresh air,breathe in fresh air
open a window,open a window
make my bed in the morning,make my bed in the morning
make your bed in the morning,make your bed in the morning
get a little bit of freshener in the morning,get a little bit of freshener in the morning
cut it to about like what the size the cucumber,cut it to about like what the size the cucumber
making kind of a bowl or a big salad plate with lots of different components,make kind of a bowl or a big salad plate with lots of different components
look at my phone with for hours on end,look at my phone with for hours on end
sit next to,sit next to
stir it up,stir it up
do some sauce,do some sauce
put on top,put on top
try it,try it
use chicken broth,use chicken broth
make a bowl of pasta,make a bowl of pasta
add a little bit of water,add a little bit of water
put the bowl,put the bowl
prepare all of your food for the next day,prepare all of your food for the next day
cut up strawberries,cut up strawberries
watch a little bit of tv,watch a little bit of tv
make tea in the evenings,make tea in the evenings
takes place in the back of a cab,take place in the back of a cab
called cash cab,call cash cab
putting some rocks on the very bottom,put some rocks on the very bottom
working with wood,work with wood
found this on my property it,found this on my property it
found on my property,found on my property
make a succulents,make a succulents
use it,use it
making some shelving,make some shelving
add some potting soil,add some potting soil
start with the succulents,start with the succulents
put these plastic containers inside,put these plastic containers inside
doing a nother diy video for around the house,do a nother diy video for around the house
attached to a keychain in an unexpected perk,attach to a keychain in an unexpected perk
playing with our pom poms as always,play with our pom poms as always
chopped red onion,chop red onion
add in your cumin,add in your cumin
throw on the lid,throw on the lid
adding the red onion cilantro the spinach garlic my jalapeno pepper spices lemon juice,add the red onion cilantro the spinach garlic my jalapeno pepper spices lemon juice
throw in the rest of your ingredients,throw in the rest of your ingredients
throwing your tomatoes into a medium size food processor,throw your tomatoes into a medium size food processor
screwed the bracket,screw the bracket
took the cardboard,take the cardboard
stapled all the way around the frame,staple all the way around the frame
took a staple gun,take a staple gun
cutting them with my miter,cut them with my miter
drilled into the larger pieces of wood,drill into the larger pieces of wood
get long pieces of wood,get long pieces of wood
drilling the screws into the four corners,drill the screws into the four corners
cutting the wood pieces now,cut the wood pieces now
cutting here,cut here
see soon,see soon
keep drinking water throughout the morning,keep drinking water throughout the morning
drink plain herbal tea like rooibos tea or green mint tea plain,drink plain herbal tea like rooibos tea or green mint tea plain
use a little bit of mascara,use a little bit of mascara
used the elizabeth arden hour cream on my lips,use the elizabeth arden hour cream on my lips
light a candle,light a candle
cut my coffee machine,cut my coffee machine
use a little bit of soy milk,use a little bit of soy milk
go in,go in
working or going to school,work or go to school
found that,found that
go straight,go straight
get ready from ,get ready from
force yourself out of bed,force yourself out of bed
start with coffee,start with coffee
make coffee or tea,make coffee or tea
get ready in,get ready in
set your alarm,set your alarm
get out of bed,get out of bed
bake the guys,bake the guys
making a diy lactation support cooking mix,make a diy lactation support cooking mix
making it,make it
do a little bit more work,do a little bit more work
perfecting facial,perfect facial
done all of my foundation,do all of my foundation
finish my food,finish my food
cleansing wipes,clean wipes
fit into a taco,fit into a taco
go into the bathroom,go into the bathroom
removing my makeup,remove my makeup
use construction paper or circle cutouts,use construction paper or circle cutouts
cut that out,cut that out
sharing a diy christmas tree bucket list,share a diy christmas tree bucket list
draw out the shape of your tree,draw out the shape of your tree
blend up my sauce,blend up my sauce
got my pasta on the stove,got my pasta on the stove
adding the avocado right into my blender,add the avocado right into my blender
did the granite countertops,do the granite countertops
sits for a little bit,sit for a little bit
throw that together,throw that together
mix it,mix it
using a dish cleaning,use a dish cleaning
makes a great shower door cleaner,make a great shower door cleaner
squeegee off,squeegee off
rinse out the shower for a few minutes with hot water,rinse out the shower for a few minutes with hot water
put some soft scrub on the area,put some soft scrub on the area
get granite countertops,get granite countertops
adding two teaspoons of chia seeds,add two teaspoons of chia seeds
add to a jar,add to a jar
watching,watch
seeing my weekday morning routine for work,see my weekday morning routine for work
show guys my outfit quickly the whole thing together,show guys my outfit quickly the whole thing together
give it that extra little something,give it that extra little something
matches my shoes,matches my shoes
grabbing my favorite guest bag,grab my favorite guest bag
used a fork,use a fork
stirred it up,stir it up
chop them into really thin slices,chop them into really thin slices
checked them,check them
take toys,take toys
round it out with cleaning my floor,round it out with clean my floor
taking them to a donation center,take them to a donation center
opens up all of my living spaces,open up all of my living spaces
wipe it off,wipe it off
do a big clean of my kitchen,do a big clean of my kitchen
cleaning windows,cleaning windows
helps the room,help the room
vacuum really way too fast move your vacuum,vacuum really way too fast move your vacuum
open the windows,open the windows
throw the cushions around,throw the cushions around
fix my cushions up,fix my cushions up
gave it a sweep,give it a sweep
cleared the kitchen out,clear the kitchen out
do my hair everyday for dance,do my hair everyday for dance
apply some us lip balm,apply some us lip balm
going to hairspray my hair in a couple of spots,go to hairspray my hair in a couple of spots
put them in my bun,put them in my bun
make sure that my hair,make sure that my hair
using a brush,use a brush
applying mascara,apply mascara
tidy up the main living space,tidy up the main living space
get everything vacuum,get everything vacuum
decided the size,decide the size
do it ourselves,do it ourselves
zest a lemon,zest a lemon
chop my vegetables,chop my vegetables
chop all these up,chop all these up
cooking it,cook it
using a carrot,use a carrot
chopped up,chop up
use my dyson,use my dyson
get a lot of questions about our wood flooring,get a lot of questions about our wood flooring
moved on to our wood flooring,move on to our wood flooring
curl,curl
put my hair in the braids,put my hair in the braids
putting it in two braids,put it in two braids
take my hair out of the braids,take my hair out of the braids
do anything to my hair,do anything to my hair
added about a half a cup,add about a half a cup
saute it now,saute it now
add that in,add that in
used about half a teaspoon,use about half a teaspoon
add all,add all
get some healthy carbs good fats,get some healthy carbs good fats
spin the batter into the waffle maker,spin the batter into the waffle maker
do this as quickly as possible,do this as quickly as possible
get it all in,get it all in
turn the waffle maker on lightly grease,turn the waffle maker on lightly grease
close it,close it
covered in the coconut oil,cover in the coconut oil
turn it on,turn it on
shown guys,show guys
make two little waffles in the waffle maker,make two little waffles in the waffle maker
keep it simple okay,keep it simple okay
going in with this mac brush,go in with this mac brush
brush up really gently,brush up really gently
get them even,get them even
add my vegetables,add my vegetables
make mac,make mac
boiling in my steamer,boil in my steamer
add cup of water to a blender,add cup of water to a blender
puree them,puree them
used the anti back tile it cleaner,use the anti back tile it cleaner
work really great,work really great
clean those up,clean those up
cleaning the toilets,clean the toilets
cleaned once,clean once
cleaning the toilet,clean the toilet
cleaning the shower,clean the shower
cleaning the toilets,clean the toilets
using banana,use banana
slicing up your banana,slice up your banana
blend it up again,blend it up again
pour it into my glass,pour it into my glass
add a few ice cubes,add a few ice cubes
blend it up,blend it up
customize these,customize these
made long ones,make long ones
sounds like a real rain stick,sounds like a real rain stick
scrunch up some tinfoil,scrunch up some tinfoil
turns it into an education,turn it into an education
huevos blingle,huevos blingle
create different sounds,create different sounds
playing with our rain stick,play with our rain stick
wrapping paper paint or decorative tape,wrap paper paint or decorative tape
entertain younger children,entertain younger children
use a paper towel holder,use a paper towel holder
making them,make them
play with we,play with we
grab my handbag,grab my handbag
using an honest beauty lip crayon,use an honest beauty lip crayon
put on my lipstick or tinted lip balm,put on my lipstick or tinted lip balm
lose weight,lose weight
start off by priming my eyelids with the painterly pro longwear paint,start off by prime my eyelids with the painterly pro longwear paint
do one eye on camera,do one eye on camera
use the pure in nada natural cosmetics eyeshadow palette,use the pure in nada natural cosmetics eyeshadow palette
put this all over my eyelids,put this all over my eyelids
put that all over my eyelid oh also,put that all over my eyelid oh also
get these veggies,get these veggies
rereading a book,reread a book
munch on some snacks,munch on some snacks
do some reading,do some reading
make myself some food,make myself some food
open anything,open anything
head out onto the patio,head out onto the patio
reading,read
stick a little paper towel in there,stick a little paper towel in there
put my roasted red pepper on there,put my roasted red pepper on there
slice it,slice it
lower the peppers,lower the peppers
spread some vegan mayonnaise on there,spread some vegan mayonnaise on there
put on the lid or the top of the sandwich,put on the lid or the top of the sandwich
massaged kale,massage kale
rinse it,rinse it
fill it up with lots of sprouts,fill it up with lots of sprouts
using some tomato cucumber red radish,use some tomato cucumber red radish
throw it in a bowl,throw it in a bowl
fill it with beautiful succulents,fill it with beautiful succulents
covered in succulents,cover in succulents
putting it,put it
add life to really any place,add life to really any place
filling this to the brim,fill this to the brim
chop it up,chop it up
do my makeup,do my makeup
highlighting and a sort of purple or pink or tones lips,highlight and a sort of purple or pink or tones lips
putting makeup as part of your morning routine,put makeup as part of your morning routine
using the tea miralax tea,use the tea miralax tea
kept in a little basket underneath as well,keep in a little basket underneath as well
using the teenie tumbler,use the teenie tumbler
use a tea infuser,use a tea infuser
store them in individual freezer bags,store them in individual freezer bags
make it from scratch,make it from scratch
adding a quarter of a onion,add a quarter of a onion
gives me that little afternoon perfectly sometimes,give me that little afternoon perfectly sometimes
add garlic,add garlic
find that a cup of green tea,find that a cup of green tea
caramelize slightly,caramelize slightly
making one of my favourite easy meals,make one of my favourite easy meals
going to fry that in a pan over medium to high heat for a few minutes,go to fry that in a pan over medium to high heat for a few minutes
brush out my tangled mangled hair,brush out my tangled mangled hair
make my bed,make my bed
hairbrush it,hairbrush it
thrown in a few little clips of makeup,throw in a few little clips of makeup
clean up my bed,clean up my bed
get our dinner dishes,get our dinner dishes
reload the dishwasher,reload the dishwasher
got all of our dishes on model of the dishwasher,got all of our dishes on model of the dishwasher
clean my sink out with some regular soap,clean my sink out with some regular soap
using the meyer ever mint scent dish soap,use the meyer ever mint scent dish soap
add a bit of honey,add a bit of honey
hanging with my greek yogurt banana,hang with my greek yogurt banana
using the blueberry flax by nature path,use the blueberry flax by nature path
pop that right into our saucepan,pop that right into our saucepan
doing this with one hand,do this with one hand
putting two thirds of a cup of water,put two thirds of a cup of water
stir mix everything up,stir mix everything up
chopped up banana,chop up banana
look my eyebrows,look my eyebrows
do as much mascara,do as much mascara
add in your vanilla extract,add in your vanilla extract
take your two eggs,take your two eggs
crack them into a small size bowl,crack them into a small size bowl
making slime with kids,make slime with kids
using this really pretty teal color,use this really pretty teal color
did a slime segment on the today show icon,do a slime segment on the today show icon
using a clear glue,use a clear glue
mix a cup of glue,mix a cup of glue
adding one drop,add one drop
talk about how,talk about how
smell good,smell good
trying different products,try different products
washing up all of my dishes,wash up all of my dishes
mushed together a bunch of different ingredients,mush together a bunch of different ingredients
involved eggs,involve eggs
moved into the playroom,move into the playroom
clean off,clean off
finished up in the boys room,finish up in the boys room
make a tofu quiche,make a tofu quiche
celebrate anything else during the holiday,celebrate anything else during the holiday
stir another oats,stir another oats
give it that little pop of extra flavor,give it that little pop of extra flavor
make the overnight oats extra creamy,make the overnight oats extra creamy
used smooth,use smooth
go really nicely with peanut butter,go really nicely with peanut butter
add a pinch of cinnamon,add a pinch of cinnamon
give it another quick,give it another quick
adding teaspoon of pure maple syrup,add teaspoon of pure maple syrup
create that kind of zen space,create that kind of zen space
put some hyaluronic acid serum on my face,put some hyaluronic acid serum on my face
head to bed,head to bed
cleaned off my entire office space,clean off my entire office space
made a little bit of a mess back on my desk with like no cards pens,make a little bit of a mess back on my desk with like no cards pens
sprinkle of sea salt,sprinkle of sea salt
top it with some avocado slices,top it with some avocado slices
whipped up in a few minutes,whip up in a few minutes
sliced up one,slice up one
cut into thin strips,cut into thin strips
adding a little,add a little
filling one slice,fill one slice
cut one slice in half,cut one slice in half
adding tablespoons of dry whole rolled oats,add tablespoons of dry whole rolled oats
mixed two teaspoons of chia seeds with about teaspoons of water,mix two teaspoons of chia seeds with about teaspoons of water
placing this into a large bowl,place this into a large bowl
add in your butter lettuce,add in your butter lettuce
going to first start by and shredding up your kale,go to first start by and shred up your kale
kinda left mine in larger pieces,kinda left mine in larger pieces
make it,make it
break down the cell walls of the kale,break down the cell walls of the kale
give it a good massage with your hands,give it a good massage with your hands
grab my bag,grab my bag
put on these white shoes from stan,put on these white shoes from stan
head out the door,head out the door
walking to the bus,walk to the bus
head back downstairs,head back downstair
watching this video,watch this video
take my phone upstairs,take my phone upstairs
put a little spoonful onto each letter,put a little spoonful onto each letter
top the hummus with some cherry tomatoes,top the hummus with some cherry tomatoes
add the main ingredients the hummus,add the main ingredients the hummus
wrap it,wrap it
measured out half a cup of hummus,measure out half a cup of hummus
measure it out,measure it out
makes a really nice little shelf like a checker shell,make a really nice little shelf like a checker shell
put a few onto each little rest,put a few onto each little rest
cook this on low heat in your oil of choice garlic burns,cook this on low heat in your oil of choice garlic burns
go with six cloves,go with six cloves
chopped garlic,chop garlic
start with four to six cloves,start with four to six cloves
use about half a teaspoon,use about half a teaspoon
add about a tablespoon of brown sugar,add about a tablespoon of brown sugar
add some red wine vinegar,add some red wine vinegar
chopped up almonds,chop up almonds
cut up some fresh parsley,cut up some fresh parsley
adding in different ingredients like this gold glitter slime,add in different ingredients like this gold glitter slime
play with,play with
put the cold water in,put the cold water in
put some lavender in there,put some lavender in there
diffuses the scent into your room,diffuse the scent into your room
hung that over his crib,hung that over his crib
put over my kids cribs,put over my kids cribs
hung up a few wood pieces,hung up a few wood pieces
made in a few wood pieces,make in a few wood pieces
bind all of the ingredients together,bind all of the ingredients together
add that to a jar with half a cup of water,add that to a jar with half a cup of water
absorb water,absorb water
prepare my oats,prepare my oats
add good protein,add good protein
use a bowl,use a bowl
determine how far apart the holes,determine how far apart the holes
create two pilot holes,create two pilot holes
hammer in anchors for added support,hammer in anchors for add support
measure how far apart the brackets,measure how far apart the brackets
make my markings,make my markings
drill in screws,drill in screws
hold on to,hold on to
make sure,make sure
use the center point of the wall,use the center point of the wall
use my drill,use my drill
make a garden bed,make a garden bed
put in,put in
pop the center part into the outer part of the tumbler,pop the center part into the outer part of the tumbler
taking a couple of tea spoons of the loose leaf tea into the center container of the tea,take a couple of tea spoons of the loose leaf tea into the center container of the tea
screw the lid on,screw the lid on
pour in hot water from my kettle,pour in hot water from my kettle
continue with the detox theme,continue with the detox theme
created over the last few months,create over the last few months
share them with guys,share them with guys
slathering your greens with salad,slather your greens with salad
made an extra batch of this one,make an extra batch of this one
doing my hair,do my hair
take any extra time out of your morning,take any extra time out of your morning
list a whole lot of things,list a whole lot of things
changing into my workout clothes really quickly,chang into my workout clothes really quickly
fix those cushions,fix those cushions
drink some more water,drink some more water
warm it,warm it
relieve your cramping,relieve your cramping
put in the microwave,put in the microwave
put it on your lower abdomen,put it on your lower abdomen
go to the drugstore,go to the drugstore
depending on the wattage of your microwave work,depend on the wattage of your microwave work
make one yourself,make one yourself
do a little,do a little
fall out,fall out
stick in the microwave ten to thirty seconds,stick in the microwave ten to thirty seconds
keep your eyes very closely on anything like this,keep your eyes very closely on anything like this
pulled out a few stress relief products,pull out a few stress relief products
put a little bubble bath in there,put a little bubble bath in there
add a little bit of bubble bath,add a little bit of bubble bath
add their toys,add their toys
prep for the boys,prep for the boys
use the seventh generation coconut care mousse shampoo for both of them it,use the seventh generation coconut care mousse shampoo for both of them it
cleaned up,clean up
make sure the water,make sure the water
head back,head back
poke holes,poke holes
chop up some olives some cashews,chop up some olives some cashews
put some more of my tips,put some more of my tips
baking soda,bake soda
go ahead,go ahead
baking powder,bake powder
layering in the jar,layer in the jar
make for yourself as a special treat,make for yourself as a special treat
combine the rolled oats flax seed meal,combine the rolled oats flax seed meal
sift it onto your carpet,sift it onto your carpet
baking soda,bake soda
add whatever essential oils,add whatever essential oils
sift it,sift it
use a little tiny bit of essential oil,use a little tiny bit of essential oil
rose essential oil,rose essential oil
choose whichever one,choose whichever one
get ready for back to school,get ready for back to school
show three super cute diy projects,show three super cute diy projects
sprinkle of sea salt,sprinkle of sea salt
given him two baked chicken breast pieces,give him two baked chicken breast pieces
roll them up right,roll them up right
cut right through them,cut right through them
roll my last one up,roll my last one up
add a little bit of unsweetened almond milk,add a little bit of unsweetened almond milk
sit down,sit down
use fresh blueberries,use fresh blueberries
give it a good vacuum,give it a good vacuum
throw pillows,throw pillows
wipe down my bar stools,wipe down my bar stools
give it a good clean,give it a good clean
put away,put away
do every single day,do every single day
set me up for success for the next morning,set me up for success for the next morning
set it on low heat for eight hours or high heat for three to four hours,set it on low heat for eight hours or high heat for three to four hours
use chicken stock,use chicken stock
boiling off your pasta according to the directions,boil off your pasta accord to the directions
vacuum then in the kids bathroom,vacuum then in the kids bathroom
used a roomba in this house,use a roomba in this house
use our roomba upstairs today,use our roomba upstairs today
using the same seventh generation,use the same seventh generation
meeting my water with lemon,meet my water with lemon
come to bed,come to bed
go straight into bed,go straight into bed
come to bed,come to bed
brush my teeth,brush my teeth
take your castile soap,take your castile soap
recommend that book,recommend that book
taking charge of your fertility,take charge of your fertility
recommend that book for any female,recommend that book for any female
get presley these peppers,get presley these peppers
dump those in,dump those in
mix it up with all sorts of veggies,mix it up with all sorts of veggies
chopped up,chop up
adding our veggies,add our veggies
follow the line,follow the line
traced as best as possible,trace as best as possible
creating the circle,create the circle
grabbed the largest drill bit,grab the largest drill bit
blow away the wood dust,blow away the wood dust
place the bowl inside of the hole,place the bowl inside of the hole
go on my traced line,go on my trace line
put on your favorite toppings,put on your favorite toppings
chopped up into small pieces as my natural sweetener,chop up into small pieces as my natural sweetener
use a half of an apple,use a half of an apple
mixed up around the oats,mix up around the oats
put the lid back on,put the lid back on
give it a good shake,give it a good shake
added some raw pumpkin seeds for a little bit of crunch,add some raw pumpkin seeds for a little bit of crunch
sprinkle on some cinnamon,sprinkle on some cinnamon
put a lid on top,put a lid on top
take all of the dirty stuff,take all of the dirty stuff
clean up the living room,clean up the living room
do the laundry clean up,do the laundry clean up
put away those miscellaneous things,put away those miscellaneous things
kick this all over to the laundry,kick this all over to the laundry
go upstairs in art service,go upstairs in art service
do the laundry clean up all the toothbrushes,do the laundry clean up all the toothbrushes
eat our veggies,eat our veggies
doing a pasta sauce with hidden veggies,do a pasta sauce with hidden veggies
eat veggies,eat veggies
doing anything,do anything
do on the right foot,do on the right foot
planning my day to minutes,plan my day to minutes
use pens,use pens
set myself up,set myself up
change the reading,change the reading
getting ready,get ready
bind all of the ingredients together,bind all of the ingredients together
add some nuts or nut butter to my oats for extra protein,add some nuts or nut butter to my oats for extra protein
add that to a jar,add that to a jar
use fresh,use fresh
adding half a cup of frozen blueberries,add half a cup of frozen blueberries
give that a little mix,give that a little mix
adding two teaspoons of chia seeds,add two teaspoons of chia seeds
absorb water,absorb water
get rid of any knots,get rid of any knots
getting them out,get them out
going under the hair,go under the hair
use a comb in the shower,use a comb in the shower
take a shower,take a shower
blow it,blow it
start with my hands,start with my hands
pour it on the same pan from anywhere from low to medium heat depending on your stove,pour it on the same pan from anywhere from low to medium heat depend on your stove
melt into like a nice cherry sauce,melt into like a nice cherry sauce
eat it up,eat it up
heat up,heat up
takes no more than three to five minutes to kind of heat up,take no more than three to five minutes to kind of heat up
using spatula here to kind of mix them up,use spatula here to kind of mix them up
putting them on a plate,put them on a plate
cut the lemons,cut the lemons
sleeping,sleep
wake me up naturally,wake me up naturally
see my room,see my room
lash extensions,lash extensions
started with my spring morning routine,start with my spring morning routine
wearing this diamond cute little bracelet,wear this diamond cute little bracelet
apply a la creme for the skin,apply a la creme for the skin
put some peppermint essential oil on my wrist,put some peppermint essential oil on my wrist
apply my gold serum to my eye area,apply my gold serum to my eye area
clean off my skin,clean off my skin
smell that,smell that
start with an toner,start with an toner
apply super serum,apply super serum
chopped up one carrot,chop up one carrot
added the teaspoon of olive oil,add the teaspoon of olive oil
add any more oil of salt,add any more oil of salt
adding the rest of the ingredients,add the rest of the ingredients
add some unsweetened balsamic vinegar some black pepper,add some unsweetened balsamic vinegar some black pepper
give that another quick,give that another quick
toss that up with the kale,toss that up with the kale
pop these two in,pop these two in
pop in the tomatoes,pop in the tomatoes
take it out,take it out
put some oil on it,put some oil on it
put in the oven,put in the oven
do a roast chicken breast,do a roast chicken breast
eat food,eat food
go to bed,go to bed
go to bed,go to bed
apply to my face,apply to my face
lay down,lay down
turn off the lights,turn off the lights
read a book,read a book
add half a cup of oats scoop of vanilla protein powder,add half a cup of oats scoop of vanilla protein powder
take out your blender,take out your blender
tablespoon of xylitol or sweetener of your choice egg whites strawberries fresh or frozen cup of greek yogurt,tablespoon of xylitol or sweetener of your choice egg whites strawberries fresh or frozen cup of greek yogurt
brush up very gently,brush up very gently
brush in an upwards motion,brush in an upwards motion
get out of bed,get out of bed
snuggle a little bit longer,snuggle a little bit longer
bundled up underneath a heap of blankets,bundle up underneath a heap of blankets
fall asleep,fall asleep
show my morning routine,show my morning routine
wake up,wake up
making these videos,make these videos
secure it with two knobs,secure it with two knobs
stick these on about anything,stick these on about anything
prune it with some scissors,prune it with some scissors
wrap it around the middle with the frame,wrap it around the middle with the frame
pull it nice,pull it nice
remove the cardboard frame,remove the cardboard frame
mix it up,mix it up
add some raw unsweetened coconut flakes,add some raw unsweetened coconut flakes
use one cup of unsweetened almond milk with some spinach,use one cup of unsweetened almond milk with some spinach
add an avocado,add an avocado
add some frozen berries like strawberries blackberries blueberries,add some frozen berries like strawberries blackberries blueberries
give a little bit more sweetness,give a little bit more sweetness
add some liquid stuff,add some liquid stuff
thicken it up,thicken it up
liquefy that for about seconds,liquefy that for about seconds
add some vanilla stevia like about three or four drops,add some vanilla stevia like about three or four drops
use with hummus,use with hummus
using romaine lettuce,use romaine lettuce
using hummus,use hummus
mix this all up,mix this all up
grated white onion egg cloves of garlic,grate white onion egg cloves of garlic
put these into a pan,put these into a pan
lined with your favorite marinara sauce,line with your favorite marinara sauce
add half,add half
adding a little pinch of vanilla,add a little pinch of vanilla
using half a cup of frozen blueberries,use half a cup of frozen blueberries
using ground vanilla powder,use ground vanilla powder
using frozen berries,use frozen berries
adding half a banana for a little sweetness,add half a banana for a little sweetness
use the cinnamon,use the cinnamon
doing a video,do a video
added some salt,add some salt
sauteing my vegetables in water instead of oil,saute my vegetables in water instead of oil
chopped these veggies,chop these veggies
going to dice this red bell pepper,go to dice this red bell pepper
added some water,add some water
making some pumpkin spice,make some pumpkin spice
stir cinnamon,stir cinnamon
add a pinch of sea salt,add a pinch of sea salt
use some cinnamon,use some cinnamon
see guys next time,see guys next time
use your fork money,use your fork money
give this one a try,give this one a try
try right here,try right here
do this one outside cramps,do this one outside cramps
stretching routine,stretch routine
added some of the dressing,add some of the dress
added a big dollop on top,add a big dollop on top
spread the granola out,spread the granola out
take a greased cookie sheet,take a greased cookie sheet
put on my pjs,put on my pjs
head over,head over
do my meal prep,do my meal prep
posted a video on how,post a video on how
pick out by the name alone,pick out by the name alone
head out into the living room,head out into the living room
prepared a couple weeks ago,prepare a couple weeks ago
hop in the shower,hop in the shower
come home,come home
get fresh greens,get fresh greens
wash my greens that my mom,wash my greens that my mom
drinking some kombu tea,drink some kombu tea
get in another glass of water,get in another glass of water
head right into my kitchen,head right into my kitchen
put on some deodorant,put on some deodorant
packing for dance,pack for dance
pack some strawberries,pack some strawberries
pour my almond milk back into my blender homemade almond milk,pour my almond milk back into my blender homemade almond milk
store my milk in these little jars,store my milk in these little jars
fill up the water,fill up the water
add some vegetable bullion,add some vegetable bullion
pick up a few of those things,pick up a few of those things
moving on to our living room,move on to our living room
throw pillows on the couch,throw pillows on the couch
got a deck or a back patio floor,got a deck or a back patio floor
replace their rug,replace their rug
use power washers,use power washers
put a link down below to the most inexpensive best power washer,put a link down below to the most inexpensive best power washer
using a traditional ice pack,use a traditional ice pack
freeze a smoothie,freeze a smoothie
give her a lunchbox,give her a lunchbox
tape it to the inside of your child lunchbox,tape it to the inside of your child lunchbox
touching the outside of the stove,touch the outside of the stove
cleans like a boss for the top of the stove,clean like a boss for the top of the stove
forgotten about crevices a butter knife,forgotten about crevices a butter knife
wipe between the stove,wipe between the stove
give it a try,give it a try
take everything off of the glass with a little bit of elbow grease,take everything off of the glass with a little bit of elbow grease
put a little bit of bar keeper friend,put a little bit of bar keeper friend
drink some water,drink some water
gets a bit tangled in the night,get a bit tangle in the night
get off any excess moisturizer or oils,get off any excess moisturizer or oils
brush that all out,brush that all out
wash my face,wash my face
tie my hair,tie my hair
add this into a handy dandy little mason jar,add this into a handy dandy little mason jar
use another good cooking oil,use another good cooking oil
adding to teaspoon of macadamia nut oil to my frying pan,add to teaspoon of macadamia nut oil to my frying pan
add one cup of baby tomatoes,add one cup of baby tomatoes
show today,show today
put one generous tablespoon into the bottom of a little glass dish,put one generous tablespoon into the bottom of a little glass dish
use a fuji apple,use a fuji apple
prep before,prep before
cut one whole apple up,cut one whole apple up
slices into the almond butter,slices into the almond butter
take some almond butter,take some almond butter
cut out a bunch of circles it,cut out a bunch of circles it
take construction paper,take construction paper
cutting things out,cut things out
pour that into the water,pour that into the water
mix it up,mix it up
fill up my glass halfway with room temperature water,fill up my glass halfway with room temperature water
squeeze the juice out of a lemon with my little lemon juicer,squeeze the juice out of a lemon with my little lemon juicer
leave your couches,leave your couches
works really really good,works really really good
use this,use this
got this duster from grove collaborative,got this duster from grove collaborative
pass into the washing machine,pass into the wash machine
do any time,do any time
ride us throughout the week,ride us throughout the week
looking like new,look like new
take the duster part off,take the duster part off
do about half a teaspoon,do about half a teaspoon
take some walnuts,take some walnuts
take them in my hand,take them in my hand
crush them up,crush them up
add a little bit more cinnamon,add a little bit more cinnamon
put the oatmeal into my bowl,put the oatmeal into my bowl
take my chia seeds,take my chia seeds
sprinkle that on,sprinkle that on
put everything back,put everything back
do my clothes,do my clothes
make a bed,make a bed
put my contour,put my contour
put it on my cheekbones,put it on my cheekbones
bring this up my nose,bring this up my nose
using this highlight,use this highlight
putting that on my cheekbones,put that on my cheekbones
put it on the center part of my forehead,put it on the center part of my forehead
done with that glow,do with that glow
